S No,Media Site Id,City,Zone,Locality,Pin Code,Office Building Name,No of Employees (Approx),No of Screens,No of impressions per month,Screen Size,"Latitude,Longitude",Facility Type,Tenant Details
295,MSF7RQX1,Bengaluru,BTM 2nd Stage,BTM Layout,560076,Awfis - Mantri Commerce,560,2,25200,32 inch LED TV,"0,0",Coworking space,"MRI Software India Pvt Ltd, Rareism"
296,MSCCJGKG,Bengaluru,Bengaluru,Hoodi,560048,Awfis - Prestige Shantiniketan,400,2,25200,32 inch LED TV,"12.988898,77.729035",Coworking space,"Optym India Private Limited, Mozarc Medical India Private Limited, Emerson Automation Solutions, NL Transportation pvt ltd, Pathfinder Realty Solutions, Tata Elxsi Limited, Prestige Shantinikethan, Zensar Technologies Ltd, Flowserve Global Technology & Engineering Center (GTEC)"
297,MSVRJMH4,Bengaluru,Bellandur,Bellandur,560103,Global Technology park ,5817,4,50400,43 inch LED TV,"12.923810005187988,77.67969512939453",Corporate Office,"Accenture Office BDC7C, GlobalLogic India Private Limited, Transworld Systems India, Societe Generale Global Solution Center"
298,MSQTTW1V,Bengaluru,Bengaluru,Mahadevapura,560048,Novel Offices - WorkHub,1800,4,50400,43 inch LED TV,"12.989218711853027,77.70721435546875",Corporate Office,
299,MSPKMAES,Bengaluru,Shivajinagar,Vasanth Nagar,560052,Novel Offices - Queens Road,1400,3,37800,32 inch LED TV,"12.990655899047852,77.59931182861328",Corporate Office,
300,MSYTRYBQ,Bengaluru,Bellandur,Bellandur,560103,AWFIS - PTP 4 Jupiter,600,1,12600,32 inch LED TV,"12.942512512207031,77.69507598876953",Coworking space,"Honda R&D (India) Private Limited, UNO MINDA Global Centre, Codilar Technologies Pvt Ltd"
301,MS03T17J,Bengaluru,Bellandur,Bellandur,560103,AWFIS - PTP 4 Venus,600,1,12600,32 inch LED TV,"12.942169189453125,77.69219970703125",Coworking space,"Centaus Technologies, "
302,MSJ80VMM,Bengaluru,Hebbal,Nagawara,560045,WeWork - Manyata Mahogany,546,2,25200,43 inch LED TV,"13.050227165222168,77.62283325195312",Coworking space,"Mitel, Bricstal Group, Unmatched studio"
303,MSYGK5QH,Bengaluru,Bellandur,Bellandur,560103,Brookfield - EcoWorld,25000,15,189000,55 inch LED TV,"12.920809745788574,77.6836929321289",Corporate Office,
304,MS0SXC3W,Bengaluru,Bellandur,Bellandur,560103,Brookfield - Ecospace,18000,8,100800,55 inch LED TV,"12.928048133850098,77.68106842041016",Corporate Office,
305,MSAEYMZZ,Bengaluru,Whitefield,Whitefield,560048,Brookfield - NXT,2000,4,50400,55 inch LED TV,"12.97848129272461,77.71327209472656",Corporate Office,
306,MSXQRZBT,Bengaluru,Whitefield,Brookefield,560048,Brookfield - Centennial,1500,2,25200,55 inch LED TV,"12.975973129272461,77.71170806884766",Corporate Office,
307,MS7WT645,Bengaluru,Yelahanka,Yelahanka,560064,Brookfield - North Star,900,2,25200,55 inch LED TV,"13.098288536071777,77.59552001953125",Corporate Office,
308,MS954EG0,Bengaluru,Yelahanka,Doddaballapur Road,560092,Brookfield - Azure,1500,2,25200,55 inch LED TV,"13.055606842041016,77.59391021728516",Corporate Office,
309,MSRS2VXS,Bengaluru,Hebbal,Hebbal,560001,Prestige Trade Tower,300,2,25200,55 inch LED TV,"12.985893249511719,77.58814239501953",Coworking space,
310,MS3YRKZP,Bengaluru,MG Road,MG Road,560001,Prestige Obelisk,500,1,12600,55 inch LED TV,"12.972103118896484,77.59368133544922",Coworking space,
311,MSN7TTBH,Bengaluru,Shivajinagar,Ashok Nagar,560001,UB City,900,1,12600,55 inch LED TV,"12.971724510192871,77.59447479248047",Coworking space,
312,MS6N65KZ,Bengaluru,Whitefield,ITPL,560048,SJR Union City,1500,1,12600,55 inch LED TV,"12.989109992980957,77.7326889038086",Coworking space,
313,MS483ZM0,Bengaluru,Marathahalli,Mahadevapura,560048,Zonasha Frontier,5800,1,12600,55 inch LED TV,"12.975430488586426,77.69624328613281",Coworking space,"Dell, 24/7 Games"
314,MS36ZERZ,Chennai,South,Guindy,600032,Awfis - Guindy Sphero Towers,2000,3,37800,32 inch LED TV,"13.0147957426166,80.2017312126704",Coworking space,"Ideaaffix,, OKI India Pvt.Ltd, Ortho Clinic Diagnostics, Zentropy Pvt.Ltd,, Kiranakart Technologies Pvt.Ltd,  Xylosuisse Pvt.Ltd,, NoPaperForms Solutions, RV Global Edu.Pvt.Ltd, , Reverpro Solutions Pvt.Ltd, ,  The Math Company,, Solid Solutions,"
315,MSRY4SEX,Chennai,Guindy,Guindy Industrial Estate,600032,Workflow by Oyo - Guindy,700,1,12600,32 inch LED TV,"13.01575402,80.19981473",Coworking space,"Cooper Standard, Innovate, Interise Project Management, Yokogawa, Malladi Drugs and Pharmaceuticals limited."
316,MSJGAYNP,Chennai,North,Nungambakkam,600034,Awfis - Gemini Circle,2000,5,63000,32 inch LED TV,"13.053960032009,80.2505009973279",Coworking space," HTL Logistics, , Collinson India PVT LTD, EIOQU,,  Legal Force,,  Invas Technologies,"
317,MS6CFYBE,Chennai,Kolathur,Sri Venkateswara Nagar,600099,Nucleus - Kosmo One,25000,4,50400,55 inch LED TV,"13.09234722,80.16317861",Corporate Office,
318,MS3W7R8B,Chennai,South,Saidapet,600015,Awfis - Prestige Cosmopolitan-I,2000,4,50400,32 inch LED TV,"13.0120507978262,80.222822754999",Coworking space," Waycool,  , General,, DVS, Mitsubishi Corporation India,,  Metal One Corporation India PVT.LTD,,  SWITCH, , TalentShip,"
319,MSCZXDGC,Chennai,South,Perungudi,603103,Awfis - OMR,900,7,88200,32 inch LED TV,"12.9677012609338,80.24810091267",Coworking space,"avosina, coked, cliq Solutions, corezi, durus consulting, nagaro, SCYBERS, nebeskie,, AMBS Knowledge Driven Solutions,, einfochips, QSOFT Solutions."
320,MS0ZNE1F,Chennai,Seevaram,Sholinganallur,600096,Awfis - Sierra,220,3,37800,32 inch LED TV,"12.955183,80.244114",Coworking space,"Evolv.,  Sonel Instruments India Pvt Ltd,  MOAR Digital 360 Pvt Ltd, Aerosquad private limited | Drone mapping services | Drone"
321,MS49HAEY,Chennai,Anna Salai,Anna Salai,600002,Prestige Zackria Metropolitan,740,2,25200,43 inch LED TV,"13.063643455505371,80.26392364501953",Coworking space," Marsh India Insurance Brokers Pvt Ltd, Group M,, Zomato, Ovation Services Pvt Ltd,  Adenza Technology India Private Limited  "
322,MSFYJJTS,Chennai,Guindy,Aruliammanpet,600032,Olympia Cyberspace,1920,2,25200,43 inch LED TV,"13.016522,80.215422",Coworking space,"Frieght Systems,, Pozent lab, Triyam Technologie, -, City Plots, Philips, D4T4 - Celebrus India Pvt Ltd,,  Taza Pay, Yexle Limited,"
323,MSH7WNQ4,Chennai,Perungudi,Perungudi,600002,Millenia Business Park 2,1600,2,25200,43 inch LED TV,"13.06364,80.263925",Coworking space,"- KK winds ,  IBS software Private Limited, Shipnet Software Private Limited, AMC Bridge Technology India Private Limited, Dalet India Private Limited , Kone Cranes,, D&B (Dun & Brad street), Ilink Digital"
324,MSVB27EM,Chennai,Chennai,Perungudi,600096,Workflo by Oyo - Innov8 Millenia,360,1,12600,32 inch LED TV,"12.97439,80.244002",Coworking space," IBS Software,  Tiger Analytics,  Property sulekha,  iLink Digital,  Ciklum"
325,MSMSDPPJ,Chennai,Guindy,SIDCO Industrial Estate,600032,WeWork - Olympia,1856,1,12600,43 inch LED TV,"13.01628589630127,80.21273040771484",Coworking space,
326,MSCY00KX,Chennai,Chennai,Ekkatuthangal,600032,Bharati Vilas Tech Park,1300,2,25200,43 inch LED TV,"13.025026,80.207205",Corporate Office,"Ingersoll Rand - Customer Center Chennai, E-Billing Solutions Pvt Ltd, RheinBrücke IT Consulting Pvt Ltd, Greater Goods, MVI Technologies India Pvt Limited, OREL PC, Versa Networks, Lightstorm telecom Chennai office"
327,MSRC3KVV,Chennai,Alandur,Guindy,600032,Kochar Globe Tech Park,1800,4,50400,43 inch LED TV,"13.014246940612793,80.20198822021484",Corporate Office,"Wheelocity Fresh Pvt Ltd, Software AG Chennai Development Center, Nova Capital Advisors Private Limited, TECHFULLY PVT LTD, BDO India LLP, JSW Group Office, Freight Systems Limited, Keyence India Pvt Ltd"
328,MSNTFX01,Chennai,Alandur,Guindy,600032,Olympia National Tower,1600,4,50400,43 inch LED TV,"13.010223388671875,80.21102142333984",Corporate Office,"FTC Solar India Pvt Ltd, EY GDS, Xoriant Solutions Pvt Ltd, J K Enterprises, Infiot, IBOB SCS - SF INTERNATIONAL"
329,MSTVF69Z,Chennai,Chennai,Teynampet,600035,Prestige Polygon IT Park,450,1,12600,43 inch LED TV,"13.032926,80.244227",Corporate Office,"Durr India Pvt. Ltd, RRD - My Office, Mindgate Solutions Pvt Ltd, RR Donnelley, Sharpwiz Technologies Private Limited"
330,MS36P0Y3,Chennai,Perungudi,Perungudi,600096,Arihant Verge Global Park,1600,11,138600,43 inch LED TV,"12.969842910766602,80.2494125366211",Corporate Office,"Promantis Inc, HCL"
331,MS2W0971,Chennai,Chennai,Perungudi,600096,Arihant Verge Global Park (Pod Screens),1600,2,25200,43 inch LED TV,"12.969722,80.249482",Corporate Office,"HCLTech, Promantis Inc"
332,MSDNHQC7,Chennai,Chennai,Guindy,600032,Kochar Globe Tech Park (Pod Screens),1800,2,25200,43 inch LED TV,"13.014289,80.202085",Corporate Office,"HYUNDAI AutoEver India Pvt. Ltd., Wheelocity Fresh Pvt Ltd, Nova Capital Advisors Private Limited, Software AG Chennai Development Center, TECHFULLY PVT LTD, BDO India LLP, JSW Group Office, Keyence India Pvt Ltd"
333,MSQTKZR2,Chennai,Chennai,Guindy,600032,Olympia National Tower (Pod Screens),1600,2,25200,43 inch LED TV,"13.010223,80.210934",Corporate Office,"IBOB SCS - SF INTERNATIONAL, Xoriant Solutions Pvt Ltd, FTC Solar India Pvt Ltd, Infiot, EY GDS"
334,MSYWKSKN,Chennai,Perungudi,Thoraipakkam,600097,Olympia Pinnacle Technology Park,1600,1,12600,43 inch LED TV,"12.950742721557617,80.2409896850586",Corporate Office,Clayfin Technologies Private Limited
335,MSAZ99XG,Chennai,Perungudi,Rajiv Gandhi Salai,600096,Wingspace - Coworking Space IN Perungudi,,2,25200,32 inch LED TV,"12.956263,80.247669",Coworking space,"Protorix India, Everonn Education Limited, Protorix India, Ecotech Engineering Consultancy Pvt Ltd, Protorix India, Infoplus Technologies, Vyomiq School ERP Software, Emergys India, Swiggy OMR joining office, Mikael Global Solutions, HUE Touch Technologies Pvt Ltd."
336,MSBJTW9T,Chennai,Chennai,Teynampet,600035,Prestige Polygon Tech Park (Pod Screens),450,3,37800,43 inch LED TV,"13.032800674438477,80.24418640136719",Corporate Office,"Durr India Pvt. Ltd, , RRD - My Office,, Mindgate Solutions Pvt Ltd,  RR Donnelley, Sharpwiz Technologies Private Limited"
337,MS8K3XD6,Chennai,Chennai,Ekkatuthangal,600032,Bharati Vilas Tech Park(POD Screens),1300,1,12600,43 inch LED TV,"13.025026321411133,80.20720672607422",Corporate Office,"Ingersoll Rand - Customer Center Chennai, E-Billing Solutions Pvt Ltd, RheinBrücke IT Consulting Pvt Ltd, Greater Goods, MVI Technologies India Pvt Limited, OREL PC, Versa Networks, Lightstorm telecom Chennai office"
338,MS4ADZ5Z,Chennai,Perungudi,Perungudi,600096,Brookfield - Millenia Business Park,1500,8,100800,55 inch LED TV,"12.974085807800293,80.24259948730469",Corporate Office,
339,MSHDCDV6,Chennai,Thiruverkadu,Poonamallee,600116,K Raheja Corp - Commerzone,1800,3,37800,55 inch LED TV,"13.029641151428223,80.16920471191406",Coworking space,
340,MSRJDMQ1,Chennai,Perungudi,Perungudi,600096,Global Infocity Park,600,3,37800,55 inch LED TV,"12.969228744506836,80.24365234375",Coworking space,
341,MSYRH0GT,Pune,Dhole Patil Road,Koregaon Park,411001,Bootstart Arcadian,120,1,12600,32 inch LED TV,"18.538947,73.895734",Coworking space,"Diplomat Bio-Information Pvt.Ltd, Derma Space, O A Dewani & co,  IVORY, Rajesh Builders, Shepherd's Hill, Patron Accounting LLP"
342,MSVM4E0Z,Pune,Mohammed Wadi,NIBM Rd,411048,Bootstart - Clover Hills Plaza,50,1,12600,32 inch LED TV,"18.467419,73.90172",Coworking space,Cloudnaut Technologies LLP(Ground Floor)
343,MSSQ2AZJ,Pune,Baner,Pan Card Club Rd,411045,Anchors Coworking,200,1,12600,32 inch LED TV,"18.558433,73.775607",Coworking space,"Edufund, Cars24, MYCARE, GLIMPSFIVE, SAVEMAX, IAMPOS, ETP, Giveplease"
344,MSVQ0WTQ,Pune,PMC 12,Balewadi,411045,The Powerpoint Coworking Space,50,1,12600,32 inch LED TV,"18.57042,73.769685",Coworking space,"Charterd Coworks and Talentracker Technologies CCW, We Idliwale Baroom, Eatsure food court, DSK Detective Agency Pune,, Clyde Industries pvt ltd,, Rahul shiksha academy,, GTS technosoft pvt ltd,, Ping pong entertainment , kyansh construction pvt ltd,, dynamic health studio,, Core project engineer and consultant,"
345,MS9F3B8S,Pune,PMC 5,Kharadi,411014,Kolte Patil Downtown City Vista,1500,9,113400,32 inch LED TV,"18.5613519,73.9448264",Corporate Office,"Techweb IT solutions, "
346,MS2XB4NY,Pune,Wakad Junction,Wakad - Bhosari BRTS Rd,411017,11 Cowork,200,1,12600,32 inch LED TV,"18.593695,73.783707",Coworking space,"Haldirams, Richer health Nutrition,, Aniket enterprises, Elite tankship, Shahaji fortune grp, Phantom hospitality,, Candle light club"
347,MS87S6BQ,Pune,PMC 13,Baner,411045,Awfis - Sterling Towers,1000,1,12600,32 inch LED TV,"18.5537164,73.7779184",Coworking space,"Inditrade Capital, , Listenlights Pvt. Ltd. "
348,MS0BWB1H,Pune,PCMC 28,Pimple Saudagar,411027,Awfis - GK Mall,1000,2,25200,32 inch LED TV,"18.5966168,73.7955613",Coworking space,"Aims Digital Services, ,  WeEn Semiconductors, Brand Studios- Atlas Copco Group, "
349,MSWZ90PX,Pune,Kharadi,Thite nagar,411014,Credence Global Solutions,2500,7,88200,32 inch LED TV,"18.547372817993164,73.9382095336914",Corporate Office,"Zensar, conneqt, Credence"
350,MS52KPN8,Pune,PMC 25,Hadapsar,411013,Awfis - Que Spaces,1500,1,12600,32 inch LED TV,"18.5194418,73.9310744",Coworking space,"Lifestyle,Shopper stop,Cinepolis,Cue spaces,Max,Reliance digital,pantaloons,trends,croma, , Absolute barbecue,, i venus,,  Hp,, Mi,, Robotouch,, Regal,, Habibs,, Marieclaire, , Shervil,, VIP,"
351,MS81DSNE,Pune,PMC 3,Viman Nagar,411014,Awfis - Viman Nagar 2,700,1,12600,32 inch LED TV,"18.5641834,73.9234078",Coworking space,"Bajaj Finserve, , VOIS."
352,MSQA6SZT,Pune,PMC 13,Baner,411021,Awfis - The Kode,1000,2,25200,32 inch LED TV,"18.5517285,73.7942277",Coworking space," Hella India automotivepvt.ltd., Walworth Reality, "
353,MSWZ699J,Pune,Baner,Baner,411045,Workflow by Oyo - Icon Tower,300,3,37800,32 inch LED TV,"18.565308,73.771582",Coworking space," SBI,, Housiey, Schenell, Bramasol,, Bajaj Housing finance, Athena Health, MOJO,, Ola,"
354,MSEZK7Z1,Pune,PMC 7,Camp,411001,Awfis - Nucleus Mall,1000,3,37800,32 inch LED TV,"18.5216277,73.8765929",Coworking space,"Remau Polymers pvt ltd, K.B wines,, Bharucha & Motivala Infrastructure Pvt. Ltd., Bharucha & Motivala Infrastructure Pvt. Ltd.,,  AMs Project Consultants Pvt. Ltd., Earnest grp,, , Bharucha & Motivala Infrastructure Pvt. Ltd., Kunhar peripherals, , Schmersal india pvt ltd,, Biostar pharmacy, ,karma reality,"
355,MSVPP3E1,Pune,Kalyani Nagar,Kalyani Nagar,411014,Oyo Workspace - Innov8 Suman Business Park,800,2,25200,32 inch LED TV,"18.54604066,73.9067271",Coworking space,"LUJO AUTOCORP, The Oriental Insurance Co.Ltd, Racold Thermo Limited, Tasty Bite Eatables Limited, Rivulis  Irrigation India Pvt.Ltd, RevalAnalytical Services, ATC Telecom Infrastructure,, Softech Technologies Global,, TATA Community Initiatives Trust,  Indian Register of Shipping, Religare Securities"
356,MS9MZ5AV,Pune,Shivajinagar,Wakadewadi,412214,Mayfield Towers,2500,3,37800,32 inch LED TV,"18.536848,73.851036",Coworking space," Racold Thermo Private Ltd,  Softcell Software Group, Accel IT Services ( A division of Accel Limited),  OLA Experience Centre, Wakadewadi, Kennametal India Ltd, Oriental Insurance Company Limited, Kennametal India Ltd"
357,MS9WTYS2,Pune,Hadapsar,Magarpatta city,411028,WeWork - Futura,5000,6,75600,43 inch LED TV,"18.52035903930664,73.93233489990234",Coworking space,"MSCI, Janizga Spa, Sai baba autowheels"
358,MSK541ND,Pune,Knowledge Park,MIDC,411014,WeWork - World Trade Centre,2500,4,50400,43 inch LED TV,"18.54941177368164,73.94747161865234",Coworking space,GWESOFT LLP
359,MS5A6818,Pune,Kalyani Nagar,Kalyani Nagar,411006,WeWork - Raheja Woods,2500,6,75600,43 inch LED TV,"18.5461368560791,73.89569854736328",Coworking space,Khaitan & co
360,MSCK7GXB,Pune,Pan Card Club Rd,Baner,411045,Wework - Eleven West,3000,4,50400,43 inch LED TV,"18.556555,73.78379",Coworking space,Sudharsan Chemical industries LTD
361,MSK1R0HZ,Pune,Pune,Baner,411045,PBP Balewadi High Street (Redbrick Offices),2000,1,12600,32 inch LED TV,"18.572332,73.773389",Coworking space,"John Crane Sealing Systems I Pvt Ltd,  Rockwell Automation,    , Nitya IT Solution"", ""Shivam Logistics Movers and Packers,,  Xseven Marketing, , SIEMENS ELECTRICAL SUBSTATION,, Cummins India Office Campus, John Crane Sealing Systems I Pvt Ltd,"
362,MSTPTBDT,Pune,Pune,Sakal Nagar,411007,BSB Capital (Redbrick Offices),200,1,12600,32 inch LED TV,"18.547436,73.81707",Coworking space, Deserve Labs
363,MSCZVKY5,Pune,Pune,Shivajinagar,411016,Pavillion Mall (Redbrick Offices),950,1,12600,32 inch LED TV,"18.533972,73.829621",Coworking space,"Golden Ratio Consulting Private Limited, , Anju Life Sciences Private Limited, Xcaliber Infotech Pvt. Ltd., LogicMonitor"
364,MS596R7J,Pune,West,Baner,411045,Amar Sadanand Tech Park,3000,9,113400,43 inch LED TV,"18.568178176879883,73.76742553710938",Corporate Office,"Cyc.clic : Stryder Cycle Pvt Ltd, Schaeffler India Limited Corporate Office, Just In Time Watch Store, Bridgestone city office"
365,MSGJDZXW,Pune,West,Baner,411045,M Agile Tech Park,14000,3,37800,43 inch LED TV,"18.55588722229004,73.77670288085938",Corporate Office," Jade Global Software Pvt. Ltd., ITC Infotech, Crane NXT Pvt. Ltd., Connexis Technologies Pvt. Ltd., Abhijeet Plastics India Pvt. Ltd., Wissen Technology, Anchanto Services Pvt Ltd"
366,MSC0995T,Pune,East,Mundhwa,411036,Amar Pristine Tech Park,12000,4,50400,43 inch LED TV,"18.535625457763672,73.91344451904297",Corporate Office,"METRO GLOBAL SOLUTION CENTER,  Crane Consulting and Outsourcing Pvt Ltd - CCO Pune, CYIENT LIMITED, Beghou Consulting, FPT Automotive India, Poonawalla Finance Pvt. Ltd., Signify Innovations India Ltd. (Cooper Lighting Solutions), Mindbody Software Pvt. Ltd., Ziff Davis Performance Marketing"
367,MSG7P47S,Pune,West,Baner,411045,Smartworks Amar Madhuban Tech Park,7500,3,37800,43 inch LED TV,"18.568288803100586,73.76742553710938",Corporate Office,"L&T Technology Services (LTTS), Tridiagonal Solution Pvt. Ltd, See photos ITHENA Technologies Pvt. Ltd., ITHENA Technologies Pvt. Ltd."
368,MS2E8Q9E,Pune,East,Viman Nagar,411014,Amar Tech Center,3500,4,50400,43 inch LED TV,"18.56702995300293,73.90547943115234",Corporate Office," Hyosung T & D India Pvt. Ltd, "
369,MSJW9AWQ,Pune,Pune ,Baner Road,411045,Amar Sadanand Tech Park POD Screens,3000,2,25200,43 inch LED TV,"18.56820297241211,73.76753234863281",Corporate Office,"Cyc.clic : Stryder Cycle Pvt Ltd, Dynam Electric 2 Wheelers, Avalara Technologies Private Limited, VIAVI Solutions India"
370,MSDF5H4B,Pune,Hadapsar,Amanora Park Town,411028,Awfis - Amanora Mall,350,1,12600,32 inch LED TV,"18.518868,73.935712",Coworking space,"The Sleep Company Experience Store -Amanora, SQR INFOTECH PVT LTD, ConnectingDots Infotech, Symbiotic Technology Solutions Pvt Ltd, CCube9 infotech Pvt. Ltd., Anukoolan Solutions, Aviabird Technologies Pvt. Ltd., NutaNXT Technologies India, Enovate IT Outsourcing Pvt Ltd, Marcomm Essentials, ElectRay Technologies Pvt. Ltd."
371,MSYX10CH,Pune,Pune,Vaman nagar,411014,Awfis - Nyati Empress,350,2,25200,32 inch LED TV,"18.564251,73.918355",Coworking space,"Maestro Realtek - Real Estate Mandate Company, Fortis Links LLP, AMEYA ASSOCIATES LLP, Motion Education Vimannagar, Convergint India Pvt. Ltd., Synpulse India Pvt Ltd, Assystem Stup, Unique School App India LLP, Percivon Technologies Pvt Ltd Pune (India), RadarSoft Technologies LLP"
372,MS4WSH9F,Pune,Pune,Baner,411045,Awfis - Baner Business Bay,350,1,12600,32 inch LED TV,"18.548581,73.769523",Coworking space,
373,MS1FXKNP,Pune,West,Balewadi,411045,43Eq Technology Park,5500,6,75600,43 inch LED TV,"18.57482147216797,73.7726821899414",Coworking space,"CRIF Solution Private Limited, Maths Tuition Classes"
374,MSMRMMWB,Pune,Pune,Baner,411045,Olympia B Premises,600,1,12600,32 inch LED TV,"18.553754806518555,73.77081298828125",Corporate Office,"Smartscripts Private Limited, Elite Admission - Direct & Management/, Best Financial Advisor - Accleco, Wintech Digital Solutions LLP, Gryphon Academy Pvt. Ltd, Epinomi Training Consulting, RealX, ACHALARE REALTORS"
375,MSFCM30N,Pune,West,Baner,411045,OLYMPIA B PREMISES Inside Elevator,,1,12600,24 inch LED TV,"18.553754806518555,73.77081298828125",Corporate Office,
376,MSAA691M,Pune,East,Kharadi,412207,Raheja Mindspaces - Kharadi,22784,3,37800,55 inch LED TV,"18.554506301879883,73.95805358886719",Corporate Office,
377,MSH24BK7,Pune,East,Yerwada,411006,Raheja Mindspaces - Yerawada,14834,2,25200,55 inch LED TV,"18.563283920288086,73.88459014892578",Corporate Office,"Inventive Health, Bajaj Allianz, Schlumberger, Cadence, Queen Street, Vodafone, Aptify, Tibco, ABS, BNY Mellon, Amazon, TCS, BNY Mellon, UBS, Prins Venture, Tea Post"
378,MS836GR9,Pune,East,Magarpatta,411028,WeWork - Amanora,559,2,25200,43 inch LED TV,"18.518089294433594,73.93472290039062",Coworking space,
379,MS5H220Q,Pune,East,Kharadi,411016,WeWork - EON IT Park,506,1,12600,43 inch LED TV,"18.55091667175293,73.95040893554688",Coworking space,
380,MSB9DEPS,Pune,East,Wadgaon Sheri,411014,Raheja Mindspace - The Square,8000,1,12600,55 inch LED TV,"18.560178756713867,73.92035675048828",Corporate Office,
381,MSS6S321,Pune,West,Baner,411045,Brookfield - 45Icon Business Parks,1500,5,63000,55 inch LED TV,"18.554706573486328,73.7971420288086",Corporate Office,
382,MS1HMH7N,Pune,West,Balewadi,411045,Amar Tech Park (TS),1100,2,25200,55 inch LED TV,"18.575674057006836,73.76484680175781",Coworking space,
383,MSB6PSKG,Pune,West,Balewadi,411045,Balewadi Tech Park,700,1,12600,55 inch LED TV,"18.570777893066406,73.77484893798828",Coworking space,
384,MSXFG0FK,Pune,East,Kharadi,411014,International Tech Park Pune - ITPP,1800,1,12600,55 inch LED TV,"18.562114715576172,73.95521545410156",Coworking space,
385,MS4MJ8VY,Pune,East,Viman Nagar,411014,Panchshil Viman Nagar (TS),1600,1,12600,55 inch LED TV,"18.562477111816406,73.91664123535156",Coworking space,
386,MSEXKKQS,Pune,East,Kalyani Nagar,411058,GLT Raheja Woods ,3000,1,12600,55 inch LED TV,"18.486927032470703,73.79293823242188",Coworking space,
387,MSG2XT04,Pune,East,Kharadi,411014,World Trade Center (TS),850,1,12600,55 inch LED TV,"18.553035736083984,73.94844055175781",Coworking space,
388,MSTBZ2W7,Pune,East,Koregaon Park,411001,Godrej Koregaon Park Annex,2200,1,12600,55 inch LED TV,"18.53655242919922,73.91175842285156",Coworking space,
389,MSPDTDR0,Kolkata,Newtown,Block AF 8,700156,DLF Galleria,300,6,75600,32 inch LED TV,"22.58174287,88.46050313",Corporate Office,"ZoomedInPixel Comunication Pvt Ltd, Svarna Infrastructre & Builder Pvt Ltd, eParivahan, Rishi Group, CTA-Comtemporary Training academy, OG Hep Pvt Ltd, DUCA Industries Pvt Ltd,, Textbelt Industries Pvt Ltd, Newtown, Copro Solutions Pvt Ltd"
390,MSGR50E4,Kolkata,Bidhannagar,Sector V,700091,Awfis GWS,4000,9,113400,32 inch LED TV,"22.573418,88.435434",Coworking space,"Gainwell Commosales Pvt Lt,, CSoft Marketing Pvt Ltd, Genpact Tomso Solution Ltd, CIEL HR Services Pvt Ltd"
391,MSMTZ2CY,Kolkata,Bidhannagar,Sector V,700091,Awfis - Technopolis,2191,2,25200,32 inch LED TV,"22.579729080200195,88.43777465820312",Coworking space,"Toshiba, Ixoraa, renta car, Juniper,  Vcomply, Moonatic,,  EXBO group, Neosoft,, Metal7,, Kong head, Ms pankaj"
392,MSN3RX96,Kolkata,Rajarhat,"Ecospace Business Park Premises, AA II",700156,Awfis - Ecospace Business Park 2,700,2,25200,32 inch LED TV,"22.587106704711914,88.48780822753906",Coworking space,"Home and Solution, Dhruv Food Industry Pvt. Ltd, ,oneskai, NEATmet, Orphius Healthcare Private Limited, PAHAL TRAVEL, DIGIrabbits"
393,MSHP5MX9,Kolkata,Bidhannagar,EM Block,700091,Awfis - Eco Center,700,2,25200,32 inch LED TV,"22.576614,88.42735",Coworking space,"Merico Agro, ABP Wedding HQ, PromotEdge - Integrated Marketing and Digital Advertising Agency, OneStop Weddings , Altair, Rocmob Performance Private Limited, Grant Thornton INDUS Kolkata ACOS technology"
394,MS2K1YPP,Kolkata,Park Circus,demo,700000,Park Circus Adonmo Office,10,1,12600,32 inch LED TV,"22.42111,88.15111",Coworking space,
395,MS5S3A8F,Kolkata,East Kolkata Twp,Rajdanga Main Road,700107,Awfis - Acropolis Mall,400,1,12600,32 inch LED TV,"22.5152476,88.3933951",Coworking space,"SMSRC Private Limited, KHWAHISH - BEST ARTIST BOOKING APP IN INDIA,  Tally Solutions Pvt Ltd."
396,MSE8RZ02,Kolkata,Newtown,Chakpachuria,700156,Awfis - Ecospace Business Park,250,1,12600,32 inch LED TV,"22.587198,88.489599",Coworking space,"Voith Paper Technology India Pvt Ltd, Bajaj Allianz Life Insurance Company Limited, TCS Ecospace 1B, Webvio Technologies Private Limited - Travel Technology and BPO Company, Ambuja Neotia"
397,MSWV1EG5,Kolkata,North,Bhiddhanagar,700091,Awfis - Technopolis,,1,12600,32 inch LED TV,"22.580026626586914,88.43766021728516",Coworking space,
398,MSMBHCCR,Kolkata,Bidhannagar,Sector V,700091,Awfis - Delta Towers,368,2,25200,32 inch LED TV,"22.570554733276367,88.43585968017578",Coworking space, Steel Consultancy Services
399,MS7JBZPD,Kolkata,Central,Esplanade,700013,Awfis - Siddha Esplanade,230,2,25200,32 inch LED TV,"22.56427574157715,88.35174560546875",Coworking space,"	Fisdom,, NTT DATA, Jade Global"
400,MSPNJWZT,Kochi,South,Chitoor Road,682011,Awfis - Mezmatrix,114,2,25200,32 inch LED TV,"9.976727,76.28487",Coworking space,"Inbounderz, Edu Bird, Whisper Media,,  Bizgrace Delight PVT LTD,, Qartlz Pvt.Ltd,,  Hexxarch"
401,MS3FRYKX,Ahmedabad,Jodhpur Village,Shyamal Crossroad,380015,Oyo Workspace - Mauryansh Elanza,50,2,25200,32 inch LED TV,"23.012931,72.529779",Coworking space,
